Date,Daily Max 8-Hour CO Concentration,Air Quality Index,Green Color,Yellow Color
12/19/2017,0.4,5,#87D169,#EBB65A
12/20/2017,0.6,7,#87D169,#EBB65A
12/21/2017,0.6,7,#87D169,#EBB65A
12/22/2017,0.5,6,#87D169,#EBB65A
12/23/2017,0.4,5,#87D169,#EBB65A
12/24/2017,0.4,5,#87D169,#EBB65A
12/25/2017,0.6,7,#87D169,#EBB65A
12/26/2017,0.6,7,#87D169,#EBB65A
12/27/2017,0.7,8,#87D169,#EBB65A
12/28/2017,0.6,7,#87D169,#EBB65A
12/29/2017,0.5,6,#87D169,#EBB65A
12/30/2017,0.5,6,#87D169,#EBB65A
12/31/2017,0.4,5,#87D169,#EBB65A
